	A-bar binding	zoek.pl?lemma=A-bar+binding&lemmacode=959	SYNTAX
A-bar bound: see	A-bar binding	zoek.pl?lemma=A-bar+binding	SYNTAX
A-bar chain: see	Chain	zoek.pl?lemma=Chain	SYNTAX
	A-bar free	zoek.pl?lemma=A-bar+free&lemmacode=962	SYNTAX
	A-bar GF	zoek.pl?lemma=A-bar+GF&lemmacode=963	SYNTAX
	A-bar movement	zoek.pl?lemma=A-bar+movement&lemmacode=964	SYNTAX
A-bar position: see	A-position	zoek.pl?lemma=A-position	SYNTAX
	Abduction	zoek.pl?lemma=Abduction&lemmacode=1107	PHONETICS
	A-binding	zoek.pl?lemma=A-binding&lemmacode=966	SYNTAX
	Ablaut	zoek.pl?lemma=Ablaut&lemmacode=967	MORPHOLOGY
A-bound: see	A-binding	zoek.pl?lemma=A-binding	SYNTAX
	Absolute neutralization	zoek.pl?lemma=Absolute+neutralization&lemmacode=969	PHONOLOGY
	Absolute threshold	zoek.pl?lemma=Absolute+threshold&lemmacode=1508	PHONETICS
Absolutive: see	Ergative pattern	zoek.pl?lemma=Ergative+pattern	SYNTAX
	Absorption	zoek.pl?lemma=Absorption&lemmacode=971	SYNTAX
	Abstract noun	zoek.pl?lemma=Abstract+noun&lemmacode=972	SEMANTICS
	ABX discrimination	zoek.pl?lemma=ABX+discrimination&lemmacode=1108	PHONETICS
	Accent	zoek.pl?lemma=Accent&lemmacode=1109	PHONETICS
	Accessibility	zoek.pl?lemma=Accessibility&lemmacode=973	SYNTAX
Accessible: see	Accessibility	zoek.pl?lemma=Accessibility	SYNTAX
	Accidental gap	zoek.pl?lemma=Accidental+gap&lemmacode=975	MORPHOLOGY
Accomplishment: see	Aspectual classes	zoek.pl?lemma=Aspectual+classes	SEMANTICS
	Accusative verb	zoek.pl?lemma=Accusative+verb&lemmacode=977	GENERAL
A-chain: see	Chain	zoek.pl?lemma=Chain	SYNTAX
Achievement: see	Aspectual classes	zoek.pl?lemma=Aspectual+classes	SEMANTICS
	Acoustic correlate	zoek.pl?lemma=Acoustic+correlate&lemmacode=1110	PHONETICS
	Acoustic coupling	zoek.pl?lemma=Acoustic+coupling&lemmacode=1553	PHONETICS
	Acronym	zoek.pl?lemma=Acronym&lemmacode=980	MORPHOLOGY
	Across-the-Board	zoek.pl?lemma=Across-the-Board&lemmacode=981	SYNTAX
Action tier: see	Thematic theory	zoek.pl?lemma=Thematic+theory	GENERAL
	Active	zoek.pl?lemma=Active&lemmacode=1578	SYNTAX
Activity: see	Aspectual classes	zoek.pl?lemma=Aspectual+classes	SEMANTICS
Adam's apple: see	thyroid	zoek.pl?lemma=thyroid	PHONETICS
	Adaptation	zoek.pl?lemma=Adaptation&lemmacode=1112	PHONETICS
	Adduction	zoek.pl?lemma=Adduction&lemmacode=1113	PHONETICS
Adicity: see	Arity	zoek.pl?lemma=Arity	SEMANTICS
	Adjacency	zoek.pl?lemma=Adjacency&lemmacode=985	SYNTAX
	Adjacency	zoek.pl?lemma=Adjacency&lemmacode=985	MORPHOLOGY
	Adjacency Condition	zoek.pl?lemma=Adjacency+Condition&lemmacode=986	MORPHOLOGY
Adjoin: see	Adjunction	zoek.pl?lemma=Adjunction	SYNTAX
	Adjunct	zoek.pl?lemma=Adjunct&lemmacode=987	SYNTAX
	Adjunct Condition	zoek.pl?lemma=Adjunct+Condition&lemmacode=988	SYNTAX
	Adjunction	zoek.pl?lemma=Adjunction&lemmacode=990	SYNTAX
	Adjunction condition	zoek.pl?lemma=Adjunction+condition&lemmacode=989	SYNTAX
	Advanced tongue root	zoek.pl?lemma=Advanced+tongue+root&lemmacode=991	PHONOLOGY
	Adverb	zoek.pl?lemma=Adverb&lemmacode=992	GENERAL
	Adverb	zoek.pl?lemma=Adverb&lemmacode=992	SYNTAX
	Affect alpha	zoek.pl?lemma=Affect+alpha&lemmacode=993	SYNTAX
	Affected object	zoek.pl?lemma=Affected+object&lemmacode=994	SEMANTICS
Affectedness: see	Affected object	zoek.pl?lemma=Affected+object	SEMANTICS
	Affix	zoek.pl?lemma=Affix&lemmacode=996	MORPHOLOGY
	Affix Ordering Generalization	zoek.pl?lemma=Affix+Ordering+Generalization&lemmacode=997	MORPHOLOGY
Affix Rule: see	Lexical transformation	zoek.pl?lemma=Lexical+transformation	MORPHOLOGY
	Affix substitution	zoek.pl?lemma=Affix+substitution&lemmacode=999	MORPHOLOGY
	Affixation	zoek.pl?lemma=Affixation&lemmacode=1000	MORPHOLOGY
	Affricate	zoek.pl?lemma=Affricate&lemmacode=1001	PHONOLOGY/PHONETICS
	A-free	zoek.pl?lemma=A-free&lemmacode=1002	SYNTAX
	Agent	zoek.pl?lemma=Agent&lemmacode=1003	GENERAL
	Agentive verb	zoek.pl?lemma=Agentive+verb&lemmacode=1004	GENERAL
	A-GF	zoek.pl?lemma=A-GF&lemmacode=1005	SYNTAX
	Agglutinating language	zoek.pl?lemma=Agglutinating+language&lemmacode=1006	MORPHOLOGY
	AGR	zoek.pl?lemma=AGR&lemmacode=1007	SYNTAX
	Agree	zoek.pl?lemma=Agree&lemmacode=1579	SYNTAX
	Agreement	zoek.pl?lemma=Agreement&lemmacode=1008	GENERAL
	Agreement	zoek.pl?lemma=Agreement&lemmacode=1008	SYNTAX
	Airstream mechanisms	zoek.pl?lemma=Airstream+mechanisms&lemmacode=1115	PHONETICS
Aktionsart: see	Aspectual classes	zoek.pl?lemma=Aspectual+classes	SEMANTICS
	Aliasing	zoek.pl?lemma=Aliasing&lemmacode=1544	PHONETICS
Alienable possession: see	Inalienable possession	zoek.pl?lemma=Inalienable+possession	SEMANTICS
Allomorph: see	Allomorphy	zoek.pl?lemma=Allomorphy	MORPHOLOGY
	Allomorphy	zoek.pl?lemma=Allomorphy&lemmacode=1011	MORPHOLOGY
	Allomorphy rule	zoek.pl?lemma=Allomorphy+rule&lemmacode=1012	MORPHOLOGY
	Allophony	zoek.pl?lemma=Allophony&lemmacode=1013	PHONOLOGY
	Alveolar	zoek.pl?lemma=Alveolar&lemmacode=1014	PHONOLOGY/PHONETICS
	Ambiguity	zoek.pl?lemma=Ambiguity&lemmacode=1015	SEMANTICS
	Ambisyllabic	zoek.pl?lemma=Ambisyllabic&lemmacode=1016	PHONOLOGY
	A-movement	zoek.pl?lemma=A-movement&lemmacode=1017	SYNTAX
	Amplitude	zoek.pl?lemma=Amplitude&lemmacode=1123	PHONETICS
	Analog-to-digital conversion	zoek.pl?lemma=Analog-to-digital+conversion&lemmacode=1542	PHONETICS
	Analogy	zoek.pl?lemma=Analogy&lemmacode=1018	MORPHOLOGY
	Analysis-and-resynthesis	zoek.pl?lemma=Analysis-and-resynthesis&lemmacode=1125	PHONETICS
	Analysis-by-synthesis	zoek.pl?lemma=Analysis-by-synthesis&lemmacode=1124	PHONETICS
	Analytic truth	zoek.pl?lemma=Analytic+truth&lemmacode=1019	SEMANTICS
	Anaphor	zoek.pl?lemma=Anaphor&lemmacode=1020	GENERAL
	Anaphor	zoek.pl?lemma=Anaphor&lemmacode=1020	SYNTAX
	Anaphoric epithet	zoek.pl?lemma=Anaphoric+epithet&lemmacode=1021	SYNTAX
	Anaphoric pronoun	zoek.pl?lemma=Anaphoric+pronoun&lemmacode=1022	SEMANTICS
	Angled brackets	zoek.pl?lemma=Angled+brackets&lemmacode=1023	PHONOLOGY
	Anomaly	zoek.pl?lemma=Anomaly&lemmacode=1024	SEMANTICS
	Antecedent	zoek.pl?lemma=Antecedent&lemmacode=1025	GENERAL
	Antecedent	zoek.pl?lemma=Antecedent&lemmacode=1025	SEMANTICS
	Antecedent government	zoek.pl?lemma=Antecedent+government&lemmacode=1026	SYNTAX
	Anterior	zoek.pl?lemma=Anterior&lemmacode=1027	PHONOLOGY/PHONETICS
	Anticipatory shortening	zoek.pl?lemma=Anticipatory+shortening&lemmacode=1126	PHONETICS
	Antiformant	zoek.pl?lemma=Antiformant&lemmacode=1142	PHONETICS
Antipersistence: see	Downward monotonicity	zoek.pl?lemma=Downward+monotonicity	SEMANTICS
	Antonymy	zoek.pl?lemma=Antonymy&lemmacode=1029	SEMANTICS
	A-over-A	zoek.pl?lemma=A-over-A&lemmacode=1030	SYNTAX
	Apical	zoek.pl?lemma=Apical&lemmacode=1031	PHONOLOGY/PHONETICS
	A-position	zoek.pl?lemma=A-position&lemmacode=1032	SYNTAX
	Appositional compound	zoek.pl?lemma=Appositional+compound&lemmacode=1033	MORPHOLOGY
	Approximant	zoek.pl?lemma=Approximant&lemmacode=1129	PHONOLOGY/PHONETICS
	Arbitrary PRO	zoek.pl?lemma=Arbitrary+PRO&lemmacode=1034	SYNTAX
	Argument	zoek.pl?lemma=Argument&lemmacode=1035	SYNTAX
	Argument	zoek.pl?lemma=Argument&lemmacode=1035	SEMANTICS
Argument position: see	A-position	zoek.pl?lemma=A-position	SYNTAX
	Argument structure	zoek.pl?lemma=Argument+structure&lemmacode=1038	MORPHOLOGY/SYNTAX
	Argument-linking Principle	zoek.pl?lemma=Argument-linking+Principle&lemmacode=1036	MORPHOLOGY
